0	0	31377.24
15	0	31350.85
30	0	31360.27
45	0	31362.61
60	0	31372.34
75	0	31319.45
90	0	31521.32
105	0	31352.60
120	0	31372.32
135	0	31396.45
150	0	31393.86
165	0	31415.48
180	0	31294.68
195	0	31285.80
210	0	31356.17
225	0	31334.14
240	0	31352.17
255	0	31434.06
270	0	31448.92
285	0	31421.93
300	0	31450.88
315	0	31390.27
330	0	31411.50
345	0	31357.85
360	0	31340.11
375	0	31310.09
390	0	31293.68
405	0	31296.77
420	0	31250.88
435	0	31261.01
450	0	31319.08
465	0	31228.23
480	0	31276.38
495	0	31289.00
510	0	31296.74
525	0	31247.70
540	0	31350.44
555	0	31367.62
570	0	31411.87
585	0	31380.06
600	0	31383.47
615	0	31355.02
630	0	31356.12
645	0	31310.11
660	0	31359.13
675	0	31525.80
690	0	31467.53
705	0	31520.48
720	0	31437.38
735	0	31378.56
750	0	31350.40
765	0	31374.20
780	0	31298.47
795	0	31185.49
810	0	31204.33
825	0	31189.52
840	0	31187.66
855	0	31069.66
870	0	31230.48
885	0	31310.97
900	0	31324.76
915	0	31102.52
930	0	31462.20
945	0	31360.62
960	0	31329.62
975	0	31297.91
990	0	31314.22
1005	0	31304.37
1020	0	31314.82
1035	0	31342.43
1050	0	31360.58
1065	0	31345.16
1080	0	31316.55
1095	0	31300.63
1110	0	31328.82
1125	0	31322.93
1140	0	31348.02
1155	0	31391.39
1170	0	31365.87
1185	0	31387.56
1200	0	31413.32
1215	0	31364.90
1230	0	31352.27
1245	0	31314.76
1260	0	31399.95
1275	0	31371.02
1290	0	31292.23
1305	0	31348.20
1320	0	31339.69
1335	0	31383.49
1350	0	31317.93
