0	0	31229.54
5	-5	31231.06
10	0	31228.9
15	0	31232.61
20	0	31233.42
25	0	31236.4
30	0	31233.82
35	0	31231.33
40	0	31222.41
45	5	31195.32
40	5	31217.62
35	5	31227.25
30	5	31223.47
25	5	31223.68
20	5	31224.61
10	5	31221.03
5	5	31222.05
0	5	31215.37
5	10	31221.84
0	10	31222.58
5	10	31218.69
10	10	31217.44
15	10	31216.15
20	10	31221.56
25	10	31226.36
30	10	31227.99
35	10	31231.48
40	10	31229.41
45	10	31222.66
50	10	31211.32
55	15	31212.53
50	15	31241.37
45	15	31241.58
40	15	31242.37
35	15	31229.08
30	15	31226.15
25	15	31224.77
20	15	31222.65
15	15	31217.64
10	15	31216.21
5	15	31215.98
0	15	31223.45
0	20	31221.74
5	20	31217.03
10	20	31219.63
15	20	31233.52
20	20	31242.93
25	20	31236.41
30	20	31227.28
35	20	31222.99
40	20	31215.6
45	20	31215.67
50	20	31211.31
55	20	31210.72
60	20	31214.4
55	25	31227.54
50	25	31230.23
45	25	31216.21
40	25	31220.39
35	25	31221.6
30	25	31227.19
25	25	31230.96
20	25	31233.12
15	25	31230.58
10	25	31220.2
5	25	31213.29
0	25	31218.93
